date,gate,Hu,Hd,delta_h,Qg,Qg_sgn,Qg_abs,flow_mean,flow_min,flow_max,flow_signed_evidence,level_range,flow_range,connect,log_qg_abs,hydraulic_gradient_abs,mix,res,mem,exchange_strength,direction,connect_rank_trainfit,exchange_rank_trainfit
2023-01-01,新堤大闸,24.486666666666665,19.5225,4.964166666666664,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,0.9815004004050242,0.0,0.2255969297791627,0.9773140752945685,10.0,0.0,49.64166666666664,neutral,0.6433941997851772,0.5424274973147154
2023-01-01,新滩口闸,18.7532,16.15875,2.5944499999999984,85.2,85.2,85.2,18.884,0.0,85.2,0,3.3000000000000007,85.2,0.9776769604415668,4.456670177669648,0.14862818326514643,0.9850843398054446,0.011723329425556858,85.2,111.1445,outflow,0.6122448979591837,0.7218045112781954
2023-01-01,福田寺下（节）,,24.227083333333336,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.11999999999999744,0.0,0.5,0.0,0.0,0.0,10.0,0.0,0.0,neutral,0.24060150375939848,0.24060150375939848
2023-01-02,福田寺下（节）,,24.31375,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.17999999999999972,0.0,0.5,0.0,0.0,0.0,10.0,0.0,0.0,neutral,0.24060150375939848,0.24060150375939848
2023-01-02,新堤大闸,24.49083333333333,19.5225,4.96833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,4.989999999999998,0.0,0.9815608279108778,0.0,0.22576490946236383,0.9773980286014656,10.0,0.0,49.6833333333333,neutral,0.6455424274973147,0.5445757250268528
2023-01-02,新滩口闸,19.614166666666666,15.948749999999999,3.665416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,4.030000000000001,0.0,0.9494218393297977,0.0,0.20613699910419803,0.9287803928828281,0.023419203747072598,33.56363636363637,36.65416666666667,neutral,0.47690655209452204,0.36305048335123524
2023-01-03,福田寺下（节）,,24.371666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.10000000000000142,0.0,0.5,0.0,0.0,0.0,10.0,0.0,0.0,neutral,0.24060150375939848,0.24060150375939848
2023-01-03,新堤大闸,24.493750000000002,19.525833333333335,4.967916666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,4.989999999999998,0.0,0.9815547938860097,0.0,0.22571392388400208,0.9773896471104879,10.0,0.0,49.679166666666674,neutral,0.644468313641246,0.5435016111707841
2023-01-03,新滩口闸,20.324166666666667,15.928333333333333,4.395833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0,4.93,0.0,0.9711582843269272,0.0,0.24251199728688155,0.9624490569990477,0.03508771929824561,17.368878166465628,43.95833333333334,neutral,0.5037593984962406,0.40064446831364126
2023-01-04,新滩口闸,20.564,16.435416666666665,4.128583333333335,406.0,406.0,406.0,94.16,0.0,406.0,0,5.35,406.0,0.9999890577335228,6.008813185442595,0.22317017305208842,0.9999997501931817,0.007383706620723603,182.94639186238481,447.28583333333336,outflow,0.9935553168635876,0.9763694951664876
2023-01-04,新堤大闸,24.498333333333335,19.520833333333332,4.977500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,0.9816930874900812,0.0,0.22615147676649305,0.9775816462678415,10.0,0.0,49.77500000000003,neutral,0.6476906552094522,0.5467239527389903
